Time,ID,world_x,world_y,world_z
43.7,523003,7.32,-5.031,0.0
43.733,523003,7.32,-5.031,0.0
43.767,523003,7.276,-5.037,0.0
43.8,523003,7.145,-5.049,0.0
43.833,523003,7.213,-5.048,0.0
43.867,523003,7.303,-5.02,0.0
43.9,523003,7.266,-4.993,0.0
43.933,523003,7.266,-4.993,0.0
43.967,523003,7.338,-4.97,0.0
44.0,523003,7.395,-4.963,0.0
44.033,523003,7.347,-4.964,0.0
44.067,523003,7.385,-4.991,0.0
44.1,523003,7.399,-4.997,0.0
44.133,523003,7.399,-4.997,0.0
44.167,523003,7.439,-5.002,0.0
44.2,523003,7.46,-5.019,0.0
44.233,523003,7.473,-5.047,0.0
44.267,523003,7.507,-5.064,0.0
44.3,523003,7.553,-5.081,0.0
44.333,523003,7.553,-5.081,0.0
44.367,523003,7.539,-5.104,0.0
44.4,523003,7.535,-5.121,0.0
44.433,523003,7.627,-5.127,0.0
44.467,523003,7.578,-5.133,0.0
44.5,523003,7.657,-5.162,0.0
44.533,523003,7.657,-5.162,0.0
44.567,523003,7.796,-5.176,0.0
44.6,523003,7.826,-5.182,0.0
44.633,523003,7.866,-5.207,0.0
44.667,523003,7.885,-5.219,0.0
44.7,523003,7.897,-5.243,0.0
44.733,523003,7.897,-5.243,0.0
44.767,523003,7.931,-5.255,0.0
44.8,523003,7.929,-5.279,0.0
44.833,523003,7.969,-5.304,0.0
44.867,523003,7.955,-5.303,0.0
44.9,523003,7.958,-5.309,0.0
44.933,523003,7.958,-5.309,0.0
44.967,523003,7.952,-5.327,0.0
45.0,523003,8.033,-5.348,0.0
45.033,523003,8.033,-5.377,0.0
45.067,523003,8.297,-5.408,0.0
45.1,523003,8.303,-5.42,0.0
45.133,523003,8.303,-5.42,0.0
45.167,523003,8.392,-5.443,0.0
45.2,523003,8.275,-5.456,0.0
45.233,523003,8.238,-5.472,0.0
45.267,523003,8.26,-5.485,0.0
45.3,523003,8.297,-5.499,0.0
45.333,523003,8.297,-5.499,0.0
45.367,523003,8.34,-5.526,0.0
45.4,523003,8.397,-5.548,0.0
45.433,523003,8.406,-5.567,0.0
45.467,523003,8.444,-5.582,0.0
45.5,523003,8.505,-5.611,0.0
45.533,523003,8.505,-5.611,0.0
45.567,523003,8.462,-5.65,0.0
45.6,523003,9.829,-2.88,0.0
45.633,523003,9.853,-2.877,0.0
45.667,523003,9.856,-2.881,0.0
45.7,523003,9.87,-2.884,0.0
45.733,523003,9.861,-2.903,0.0
45.767,523003,9.938,-2.902,0.0
45.8,523003,9.938,-2.902,0.0
45.833,523003,9.998,-2.912,0.0
45.867,523003,10.037,-2.929,0.0
45.9,523003,10.044,-2.93,0.0
45.933,523003,10.083,-2.937,0.0
45.967,523003,10.172,-2.93,0.0
46.0,523003,10.172,-2.93,0.0
46.033,523003,10.177,-2.938,0.0
46.067,523003,10.202,-2.942,0.0
46.1,523003,10.16,-2.967,0.0
46.133,523003,10.186,-2.968,0.0
46.167,523003,10.226,-2.96,0.0
46.2,523003,10.226,-2.96,0.0
46.233,523003,10.266,-2.953,0.0
46.267,523003,10.302,-2.959,0.0
46.3,523003,10.323,-2.976,0.0
46.333,523003,10.426,-2.979,0.0
46.367,523003,10.459,-2.995,0.0
46.4,523003,10.459,-2.995,0.0
46.433,523003,10.503,-2.999,0.0
46.467,523003,10.541,-2.995,0.0
46.5,523003,10.559,-2.998,0.0
46.533,523003,10.577,-3.001,0.0
46.567,523003,10.617,-3.0,0.0
46.6,523003,10.617,-3.0,0.0
46.633,523003,10.624,-3.005,0.0
46.667,523003,10.66,-3.007,0.0
46.7,523003,10.699,-3.014,0.0
46.733,523003,10.76,-3.0,0.0
46.767,523003,10.786,-3.021,0.0
46.8,523003,10.779,-3.017,0.0
46.833,523003,10.856,-3.043,0.0
46.867,523003,10.926,-3.066,0.0
46.9,523003,10.965,-3.076,0.0
46.933,523003,10.994,-3.084,0.0
46.967,523003,11.04,-3.092,0.0
47.0,523003,11.04,-3.092,0.0
47.033,523003,11.055,-3.094,0.0
47.067,523003,11.061,-3.117,0.0
47.1,523003,11.038,-3.135,0.0
47.133,523003,11.078,-3.13,0.0
47.167,523003,11.119,-3.126,0.0
47.2,523003,11.115,-3.126,0.0
47.233,523003,11.151,-3.146,0.0
47.267,523003,11.213,-3.164,0.0
47.3,523003,11.328,-3.139,0.0
47.333,523003,11.408,-3.163,0.0
47.367,523003,11.487,-3.155,0.0
47.4,523003,11.487,-3.155,0.0
47.433,523003,11.509,-3.169,0.0
47.467,523003,11.554,-3.159,0.0
47.5,523003,11.552,-3.169,0.0
47.533,523003,10.778,-3.673,0.0
